date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60,,, ,,,,,,,circulating_market_cap(าฺิช),turn_over(v/c),turn_over(m/cmc),recog,Unnamed: 13,Unnamed: 14,turn_over(v/cc)
2008/10/17,-0.048667646,1519.66,1679.916,1462.931,1480.162,8742452100,0.956460649,-0.000327268,81633798884,15648617,1636.4264,1791.7,2058.7581,3177.610367,,,,,,,,,,,,,,,,
2008/10/24,-0.057112077,1474.968,1553.864,1401.68,1408.126,7304944800,0.94877694,-0.000169987,65864371856,15811762,1575.6598,1726.821,1989.12485,3140.970333,,,,,,,,,,,,,,,,
2008/10/31,0.026928422,1379.528,1380.464,1269.291,1327.705,8482807800,0.974220635,-0.00019199,71217477896,15811762,1511.0934,1663.8442,1920.42065,3094.687783,,,,,,,,,,,,,,,,
2008/11/7,0.137156407,1312.787,1394.492,1290.808,1363.458,6946914000,1.00326223,-7.22E-05,56886118122,15811762,1421.5172,1605.3835,1872.45395,3048.242633,,,,,,,,,,,,,,,,
2008/11/14,-0.03184335,1398.222,1553.428,1398.222,1550.465,13748145100,1.002420516,0.000192962,1.15E+11,15811762,1425.9832,1562.8847,1836.29185,3005.551533,,,,,,,,,,,,,,,,
2008/11/21,-0.059908347,1541.339,1583.797,1432.748,1501.093,15948900500,0.992696857,0.00010076,1.33E+11,15919617,1430.1694,1533.2979,1801.03065,2961.14365,,,,,,,,,,,,,,,,
2008/11/28,0.090211279,1493.431,1536.606,1399.361,1411.165,9731473400,0.984602124,-0.000146975,80937854576,15919617,1430.7772,1503.2185,1767.7272,2914.712433,,,,,,,,,,,,,,,,
2015/6/26,-0.056429014,2907.075,3082.558,2678.769,2736.695,62071763700,0.960437795,-0.000439777,8.33E+11,149056697,3081.0644,3129.9491,2896.13785,2162.290983,,,,,,,,,,,,,,,,
2015/7/3,0.122428905,2802.772,2872.907,2511.165,2582.266,99497638600,0.886935912,-0.000165549,1.22E+12,149063553,2975.2508,3065.7799,2903.87745,2180.6498,,,,,,,,,,,,,,,,
2015/7/10,-0.031515555,2807.754,2997.597,2493.644,2898.41,1.64E+11,0.746680672,5.37E-05,1.89E+12,149116638,2894.1352,3030.5719,2926.53495,2204.16105,,,,,,,,,,,,,,,,
2015/7/17,-0.023519584,2855.7,2949.197,2665.95,2807.065,87914478200,0.672593827,0.00014815,1.05E+12,149613273,2785.4986,3000.2329,2943.15845,2226.205883,,,,,,,,,,,,,,,,
2015/7/24,-0.102079354,2798.56,2815.701,2721.354,2741.044,59085455000,0.628361074,-0.000137481,7.74E+11,149613642,2753.096,2968.2962,2961.6295,2247.18835,,,,,,,,,,,,,,,,
2015/7/31,0.017290471,2698.798,2715.359,2400.866,2461.24,53173731400,0.640121572,-0.000347894,6.34E+11,150155275,2698.005,2889.5347,2959.92765,2263.671217,,,,,,,,,,,,,,,,
2015/8/7,0.029252383,2433.242,2537.354,2419.85,2503.796,32235868300,0.706485045,-0.000403178,3.89E+11,150158244,2682.311,2828.7809,2951.0835,2280.3518,,,,,,,,,,,,,,,,
2015/8/14,-0.118616412,2527.616,2626.358,2517.947,2577.038,42758571300,0.749698839,0.000165224,5.56E+11,150158244,2618.0366,2756.0859,2945.4734,2298.561117,,,,,,,,,,,,,,,,
2015/8/21,-0.049045968,2560.371,2572.213,2261.307,2271.359,40968225700,0.770992985,-0.000340258,4.78E+11,150158244,2510.8954,2648.197,2918.1823,2311.8545,,,,,,,,,,,,,,,,
2015/8/28,0.038738253,2195.457,2203.634,1874.216,2159.958,58998708600,0.823014236,-0.000413707,5.64E+11,150812425,2394.6782,2573.8871,2876.84995,2322.979417,,,,,,,,,,,,,,,,
2015/9/2,-0.021500862,2135.603,2248.766,2071.406,2243.631,44156484400,0.889104935,-4.17E-05,4.18E+11,150812425,2351.1564,2524.5807,2827.2649,2335.897583,,,,,,,,,,,,,,,,
2015/9/11,0.001639344,2215.176,2247.441,2084.03,2195.391,31387273200,0.923193436,7.88E-05,3.22E+11,150812425,2289.4754,2485.8932,2775.83655,2347.841517,,,,,,,,,,,,,,,,
2015/9/18,-0.007087799,2205.705,2277.583,2126.288,2198.99,28821342200,0.968120159,-0.000104113,3.03E+11,150812425,2213.8658,2415.9512,2723.26155,2358.5411,,,,,,,,,,,,,,,,
