 ,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
2006/2/24,-0.00272549,858.652,883.02,854.364,882.777,3803698700,0.926441517,1.79E-05,20298570593,2563300,857.6212,832.6014,799.3925,
2006/3/3,-0.026384331,893.211,897.103,869.84,880.371,4331805500,0.943382786,1.60E-05,24255510629,2660287,865.6202,842.4345,803.72845,
2006/3/10,0.007144665,880.11,884.214,852.086,857.143,3053941200,0.970215773,-2.53E-05,16034083014,2660287,867.651,849.0047,807.711,
2006/3/17,0.007149584,857.208,869.1,855.817,863.267,2370549200,0.950332995,-2.18E-05,12764545490,2660287,868.3104,855.6918,812.17145,
2006/3/24,0.01026754,863.558,881.282,858.96,869.439,3003484100,0.948846639,1.27E-05,15944900261,2660287,870.5994,858.9462,818.1452,805.7284667
2006/3/31,0.021569596,869.537,891.019,864.392,878.366,3731900700,0.974529642,1.25E-05,20257316624,2662055,869.7172,863.6692,824.1173,806.6409667
2006/4/7,0.01484545,879.544,910.536,879.544,897.312,4575650300,0.986472404,1.87E-05,26234262186,2662069,873.1054,869.3628,831.6604,807.7788
2006/4/14,0.032109533,898.005,916.267,889.757,910.633,4618785500,0.981282639,2.12E-05,25571681203,2666742,883.8034,875.7272,839.16375,809.0919
2006/4/21,0.026145022,915.535,942.234,908.705,939.873,6384066600,1.032572091,2.07E-05,33373717158,2783369,899.1246,883.7175,847.8235,811.0783
2006/4/28,0.089701238,949.675,966.321,924.454,964.446,6458551600,1.059829255,2.56E-05,38512013612,2799216,918.126,894.3627,858.19475,812.6043333
2006/5/12,0.043054052,968.919,1051.116,968.919,1050.958,8596959000,1.182666254,3.89E-05,55057689650,2826216,952.6444,911.1808,871.8911,815.8501
2006/5/19,-0.029262748,1059.773,1117.431,1046.89,1096.206,11021284200,1.206659904,3.75E-05,68265274543,3028461,992.4232,932.7643,887.5994,819.4784833
2006/5/26,0.031369347,1096.449,1107.661,1034.222,1064.128,8584120700,1.264437263,4.42E-06,49684928007,3028461,1023.1222,953.4628,901.23375,822.8891333
2006/6/2,-0.06018265,1069.881,1113.948,1063.226,1097.509,7553503900,1.209011136,4.77E-07,46596323608,3028461,1054.6494,976.887,916.2894,826.9493167
2009/8/21,-0.073513865,2418.317,2453.709,2206.597,2367.567,17659504600,1.108093176,-0.000214685,2.19E+11,37419097,2605.0978,2531.0822,2260.1944,1907.9324
2009/8/28,0.020047248,2384.338,2388.073,2177.923,2193.518,17052207200,1.104386602,-0.000241104,2.10E+11,37511917,2495.1964,2519.5116,2275.11235,1906.595917
