,0,600000.XSHG,600016.XSHG,600019.XSHG,600028.XSHG,600029.XSHG,600030.XSHG,600036.XSHG,600048.XSHG,600050.XSHG,600104.XSHG,600111.XSHG,600276.XSHG,600309.XSHG,600340.XSHG,600519.XSHG,600547.XSHG,600585.XSHG,600606.XSHG,600690.XSHG,600703.XSHG,600887.XSHG,600958.XSHG,600999.XSHG,601006.XSHG,601088.XSHG,601166.XSHG,601169.XSHG,601186.XSHG,601211.XSHG,601229.XSHG,601288.XSHG,601318.XSHG,601328.XSHG,601336.XSHG,601360.XSHG,601390.XSHG,601398.XSHG,601601.XSHG,601628.XSHG,601668.XSHG,601688.XSHG,601766.XSHG,601800.XSHG,601818.XSHG,601857.XSHG,601878.XSHG,601881.XSHG,601988.XSHG,601989.XSHG,603993.XSHG,
2007/1/5,2007/1/5,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,,,,,,,,,,520779,,,4845577
2007/1/12,2007/1/12,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,60000,,,,,,,,,520779,,,4905577
2007/1/19,2007/1/19,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,60000,,,,,,,,,520779,,,4905577
2007/1/26,2007/1/26,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,166668,,,,,,,,,,,,,683078,,60000,,,,,,,,,520779,,,4905577
2007/2/2,2007/2/2,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,212123,,,,,,,,,,,,,918078,,60000,,,,,,,,,520779,,,5186032
2007/2/9,2007/2/9,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,212123,,45075,,,,,,,,,,,918078,,60000,,,,,,,,,520779,,,5231107
2007/2/16,2007/2/16,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,212123,,45075,,,,,,,,,,,918078,,60000,,,,,,,,,520779,,,5231107
2007/3/2,2007/3/2,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,20000,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5288607
2007/3/9,2007/3/9,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5294885
2007/3/16,2007/3/16,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5294885
2007/3/23,2007/3/23,133226,611353,379714,358400,100000,171457,470963,15000,810792,148075,19219,12480,45940,7928,26993,7500,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5294885
2007/3/30,2007/3/30,133226,611363,379714,358400,100000,171457,470979,15000,810792,148075,19219,12480,45940,7928,26993,7500,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5294911
2007/4/6,2007/4/6,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,45940,7928,26993,7500,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,60000,,,,,,,,,520779,,,5313655
2007/4/13,2007/4/13,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,45940,7928,26993,7755,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,90000,,,,,,,,,520779,,,5343910
2007/4/20,2007/4/20,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,45940,7928,26993,7755,26278,18828,74233,5859,37092,,,212123,,45075,,,,,,57500,,,,,918078,,90000,,,,,,,,,520779,,,5343910
2007/4/27,2007/4/27,133226,611363,379714,358400,100000,171457,470979,30000,810792,148075,19219,16224,53897,7928,26993,7755,26278,18828,74233,5859,43419,,,212123,,45075,,,,,,57500,,,,,918078,,90000,,,,,,,,,520779,,,5358194
