,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA60,MA20
2017-09-08,-0.008644898418836703,2703.3303,2738.594,2681.4428,2686.6899,14697641300.0,0.9056282770085214,-7.692021665129668e-05,193301572481.0,156480115.4297,2657.314359999998,2635.6621999999998,,2537.95904
2017-09-15,-0.006816566362943432,2691.34,2708.42,2659.7328,2668.3759,14430586100.0,0.8770868139908423,-0.00016701959538310856,193692637278.0,156480115.4297,2676.938239999998,2648.13403,,2554.02588
2017-09-22,0.0040013103101403874,2670.1977,2694.0589,2660.5309,2679.0529,14670314000.0,0.8050003969106482,-3.0319706730450036e-05,187856538119.0,156480115.4297,2690.095879999998,2653.74097,,2571.948425
2017-09-29,-0.002510476743478996,2672.9453,2682.7495,2653.4645,2672.3272,11318978300.0,0.8247785987152617,2.047127655447515e-05,143012491584.0,156480115.4297,2683.312899999998,2657.05241,,2586.79231
2017-10-13,0.015360955799125055,2736.8345,2743.3643,2671.9426,2713.3767,13925878800.0,0.8071074491924299,0.00014396291325311194,183276009662.0,156480117.6797,2683.964519999998,2664.75071,,2604.378065
2017-10-20,0.008942510636285785,2719.3095,2756.0354,2715.0511,2737.6411,11653281800.0,0.8093672126061477,0.00032819713847213053,154077161190.0,156482960.5234,2694.154759999998,2675.73456,,2617.699415
2017-10-27,0.02799158005043105,2744.325,2815.419,2730.8414,2814.272,14583872800.0,0.8669201134510071,0.0003989835873722653,187599884150.0,156482960.5234,2723.333979999998,2700.1361100000004,,2634.639835
2017-11-03,-0.004904714256475506,2812.2381,2822.5891,2770.1248,2800.4688,20301241000.0,0.9028783176537581,0.00017689644949216705,253493143603.0,156482960.5234,2747.6171599999975,2718.8565200000003,,2648.6996200000003
2017-11-10,0.022094300782783117,2798.4715,2867.0623,2776.9492,2862.3432,20430829000.0,0.915353731951581,0.0001308277764715561,267802198359.0,156482961.0234,2785.620359999998,2734.46663,,2669.177285
2017-11-17,0.026710668378271386,2865.7827,2940.7738,2839.461,2938.7983,21799426500.0,0.9628878969893179,0.00035523639141257405,298793191547.0,156775592.0234,2830.7046799999976,2757.3345999999997,,2689.6622850000003
2017-11-24,-0.0006684364830345251,2916.7381,3038.2756,2897.2049,2936.8339,29446245800.0,1.1095602413298502,0.0001385571260554967,409219285641.0,156775592.0234,2870.5432399999977,2782.3489999999997,,2709.0056000000004
2017-12-01,-0.03222851656676945,2928.3575,2928.8632,2834.262,2842.1841,18347816600.0,1.1284281560596678,-0.00028090873319784615,257553227030.0,156775592.0234,2876.125659999997,2799.7298199999996,,2723.9319250000003
2017-12-08,0.00814746659092219,2829.8111,2922.3279,2823.9355,2865.3407,17151121000.0,1.1358932330526448,-0.0002225211472139618,244813585014.0,156775592.0234,2889.100039999997,2818.3586,,2736.049785
2017-12-15,-0.015765699345980107,2862.6063,2900.2742,2817.3175,2820.1666,12659006800.0,1.139473456726445,-9.593887372696747e-05,182449479429.0,156775592.0234,2880.664719999997,2833.14254,,2745.097475
2017-12-22,0.02148929783084445,2821.4191,2906.81,2815.8199,2880.77,11768830500.0,1.176860876070567,7.173235616122196e-05,177070903493.0,156775592.0234,2869.059059999997,2849.88187,,2757.3162899999998
2017-12-29,-0.007057140972726017,2882.28,2915.61,2829.54,2860.44,14843668000.0,1.1932935543645444,0.00015082757531569715,215510584986.0,156775592.5234,2853.780279999997,2862.16176,,2768.94816
2018-01-05,0.02514298499531543,2867.53,2947.63,2867.53,2932.36,19567959200.0,1.2637243341785878,0.00014347950141289182,254315155004.0,156775592.5234,2871.815459999997,2873.9705599999998,2535.47025,2787.0533349999996
2018-01-12,0.029409758692657034,2933.82,3019.7,2926.87,3018.6,23692579400.0,1.2351250656837507,0.0003658726280190114,326382528218.0,156775592.5234,2902.467319999997,2895.7836799999995,2547.3064366666667,2807.3201
2018-01-19,0.03286954217186784,3027.2,3145.99,3022.47,3117.82,40297984700.0,1.221648597964449,0.0002461495232724762,526084906449.0,156837300.2577,2961.997999999997,2921.3313599999997,2560.815535,2827.8989949999996
2018-01-26,0.017627701406752166,3104.96,3202.47,3104.4,3172.78,43781703100.0,1.152955670976922,0.00018304302741611365,534583363188.0,156900153.3436,3020.3999999999965,2944.7295299999996,2573.796095,2851.0320649999994
2018-02-02,-0.007293288535606101,3184.3,3197.84,3062.53,3149.64,30789827800.0,1.149688272829831,5.200743145629032e-05,403808992411.0,156900211.37489998,3078.239999999996,2966.0101399999994,2586.0149666666675,2874.1795699999993
2018-02-09,-0.10782502127227228,3098.67,3181.59,2724.59,2810.03,42999820700.0,0.5915850755756735,-0.00041718084525980547,538783630239.0,156900216.37489998,3053.7739999999962,2962.7947299999996,2592.6602266666673,2881.2622749999996
2018-02-14,0.02197841304185356,2803.86,2887.89,2776.96,2871.79,11826202900.0,0.5286299065208303,-0.0011703911307531982,144701873431.0,156901416.37489998,3024.411999999996,2963.4396599999995,2602.151473333334,2890.8991299999993
2018-02-23,0.029730586150101542,2915.97,2966.75,2900.87,2957.17,7750524200.0,0.44506250132076286,0.0010600237178813884,95065710824.0,156901416.37489998,2992.2819999999965,2977.14,2613.463008333334,2905.141269999999
2018-03-02,-0.03144560508864903,2973.81,2986.81,2852.01,2864.18,19732300100.0,0.38882969736347395,-2.1070805104561052e-05,237480784707.0,156901416.37489998,2930.5619999999963,2975.4809999999998,2623.084368333334,2912.6814349999995
2018-03-09,0.015369145793909595,2865.2,2921.44,2838.61,2908.2,17594591000.0,0.34678776506683345,-0.0001476731376917935,212022075094.0,156901417.12489998,2882.2739999999962,2980.257,2633.0720966666677,2921.2093799999993
2018-03-16,-0.012884258304105565,2922.62,2927.51,2860.41,2870.73,16993115600.0,0.3107152871388811,2.1089616544457826e-05,207197936386.0,156711440.62489998,2894.413999999996,2974.094,2642.450010000001,2924.0322799999994
2018-03-23,-0.027609702061844973,2870.36,2932.22,2754.66,2791.47,17969015400.0,0.3045002532083385,-0.0003505071709381967,236396249632.0,156914462.31239998,2878.349999999996,2951.3810000000003,2649.8547950000006,2923.5823399999995
